gold_label	sentence1	sentence2
Neutral	The juggler is entertaining the young boys on the sidewalk.	Juggling can be performed to improve hand-eye coordination.
Invalidate	5 adult men standing on stage after a concert.	The five adult men driving to their homes
Support	5 adult men standing on stage after a concert.	The five adult men are talking about the music they play.
Neutral	5 adult men standing on stage after a concert.	Concerts are a lot of fun for most people.
Invalidate	The woman in pink pants and white top is being given a baby shower.	The woman went to bed
Support	The woman in pink pants and white top is being given a baby shower.	the woman is given a plate of food
Neutral	The woman in pink pants and white top is being given a baby shower.	She recieved a call from her husband
Invalidate	A boy in a black jacket and tan hat is running down a sidewalk.	it was too hot in the afternoon and now it is drizzling so the boy uses an umbrella
Support	A boy in a black jacket and tan hat is running down a sidewalk.	as it is too sunny
Neutral	A boy in a black jacket and tan hat is running down a sidewalk.	Tan hats go well with black jackets
Invalidate	People in the water at the beach.	The people get food at the snack bar.
Support	People in the water at the beach.	The people all splash each other.
Neutral	People in the water at the beach.	Most people love going to the beach.
Invalidate	A black and white dog plays with a tattered volleyball in a brown field.	The two dogs starts hunting rat in his house.
Support	A black and white dog plays with a tattered volleyball in a brown field.	Each dog is very active during their playing time.
Neutral	A black and white dog plays with a tattered volleyball in a brown field.	They always in the running mode in the ground.
Invalidate	This lady is practicing her high jump on her new bicycle.	This lady is eating lunch with friends.
Support	This lady is practicing her high jump on her new bicycle.	She thinks that goals can be achieved with repetition.
Neutral	This lady is practicing her high jump on her new bicycle.	Choosing a difficult task may take a lot of time.
Invalidate	A small child grabbing a grape that was in a fruit bowl.	The child's mother immediately ran to her child and took the grape out of her child's hand.
Support	A small child grabbing a grape that was in a fruit bowl.	The small child is wondering what it is.
Neutral	A small child grabbing a grape that was in a fruit bowl.	Mothers are required to have a constant vigil on their babies even when working from home during pandemic.
Invalidate	Several men with disabilities are competing in a race with specialized wheelchairs.	the winner of the race receives his gold medal from the sponsor.
Support	Several men with disabilities are competing in a race with specialized wheelchairs.	There are two racers in the lead distancing from the rest of the pack.
Neutral	Several men with disabilities are competing in a race with specialized wheelchairs.	Paralympic sports is becoming increasingly popular and competitive.
Invalidate	A city street with a lone man walking in the middle.	He comes outside a theater.
Support	A city street with a lone man walking in the middle.	We see a man walking alone
Neutral	A city street with a lone man walking in the middle.	The weather that evening was cold
Invalidate	a man stands next to motorcycles	The bikers are gearing up to leave on the road soon
Support	a man stands next to motorcycles	The man rests on the side of the road
Neutral	a man stands next to motorcycles	Subaru vehicles are in popular demand since years ago
Invalidate	A woman and boy work in a garden.	The two people get food in the kitchen.
Support	A woman and boy work in a garden.	The two people plant a lot of flowers.
Neutral	A woman and boy work in a garden.	Some people like to work in the garden.
Invalidate	A group of construction workers walk past a building under construction.	the team is about to finish the works on the building
